OriginalName,AuthorID,Domain,Num
"Wager, Tor D.",6603627020,Migraine without Aura; Trigeminus Neuralgia; Magnetic Resonance Imaging,4
"Wager, Tor D.",6603627020,Laser Evoked Potential; Magnetic Resonance Imaging; Primary Somatosensory Cortex,3
"Wager, Tor D.",6603627020,Reproducibility; Open Science; P-Value,3
"Wager, Tor D.",6603627020,Magnetic Resonance Imaging; Prediction Error; Reward,2
"Wager, Tor D.",6603627020,Posttraumatic Stress Disorder; Maltreatment; Amygdala,2
"Wager, Tor D.",6603627020,Empathy; Emotional Contagion; Perspective Taking,2
"Wager, Tor D.",6603627020,Cerebral Cortex; Connectome; Myelin,2
"Wager, Tor D.",6603627020,Implicit Attitude; Implicit Measures; Avoidance Conditioning,1
"Wager, Tor D.",6603627020,Basolateral Amygdala; Amygdala; Central Nucleus (Amygdala),1
"Wager, Tor D.",6603627020,Involutional Depression; Tail Suspension Test; Inflammation,1
"Wager, Tor D.",6603627020,Psychological Resilience; Resiliency; Mental Health,1
"Wager, Tor D.",6603627020,Risky Decision Making; Pathological Gambling; Reward,1
"Wager, Tor D.",6603627020,Estimator; Functional Principal Component Analysis; Covariance Operator,1
"Wager, Tor D.",6603627020,Transient Ischemic Attack; Clopidogrel; Strokes,1
"Wager, Tor D.",6603627020,Mental Arithmetic; Diastolic Blood Pressure; Physiological Stress,1
"Wager, Tor D.",6603627020,Magnetic Resonance Imaging; Diffusion Tensor Imaging; Cortical Thickness,1
"Wager, Tor D.",6603627020,Emotion; Evoked Potentials; Cognitive Strategies,1
"Wager, Tor D.",6603627020,Visual Cortex; Functional Magnetic Resonance Imaging; Brain Mapping,1
"Wager, Tor D.",6603627020,Causal Inference; Mediator; Directed Acyclic Graph,1
"Wager, Tor D.",6603627020,Connectivity; Functional Magnetic Resonance Imaging; Bayesian Model Selection,1
"Wager, Tor D.",6603627020,Electroacupuncture; Pharmacopuncture; Acupuncture Points,1
"Wager, Tor D.",6603627020,Interoception; Insula; Emotion,1
"Wager, Tor D.",6603627020,Echo Planar Imaging; Artifact; K-Space,1
"Wager, Tor D.",6603627020,Neuromarketing; Neurosciences; Community Participation,1
"Wager, Tor D.",6603627020,International Classification of Diseases; Mental Disease; Posttraumatic Stress Disorder,1
"Wager, Tor D.",6603627020,Q Methodology; Q-Sort; Stakeholders,1
"Kober, Hedy",17346360100,Mindfulness Meditation; Mindfulness; Inner Experience,6
"Kober, Hedy",17346360100,Cocaine Dependence; Cocaine; Craving,3
"Kober, Hedy",17346360100,Eating; Inhibitory Control; Bulimia,2
"Kober, Hedy",17346360100,Intimate Partner Violence; Crime Victims; Domestic Violence,1
"Kober, Hedy",17346360100,Internet Use; Addiction; Gaming,1
"Kober, Hedy",17346360100,Dialectical Behavior Therapy; Borderline States; Personality Disorders,1
"Kober, Hedy",17346360100,Transcranial Direct Current Stimulation; Stimulation; Motor Cortex,1
"Kober, Hedy",17346360100,Magnetic Resonance Imaging; Prediction Error; Reward,1
"Kober, Hedy",17346360100,Binge-Eating Disorder; Bulimia; Obesity,1
"Kober, Hedy",17346360100,Craving; Attentional Bias; Cues,1
"Kober, Hedy",17346360100,Emotion; Evoked Potentials; Cognitive Strategies,1
"Kober, Hedy",17346360100,Menopause; Cognition; Alzheimer's Disease,1
"Kober, Hedy",17346360100,Research Personnel; Research Productivity; Women in Science,1
"Kober, Hedy",17346360100,Rumination; Anxiety; Pessimism,1
"Kober, Hedy",17346360100,Bipolar Disorder; White Matter; Magnetic Resonance Imaging,1
"Kober, Hedy",17346360100,Habit Formation; Animals; Habitual,1
"Kober, Hedy",17346360100,Neuroethics; Psychiatry; Culpability,1
"Kober, Hedy",17346360100,Ecological Momentary Assessment; Sampling Studies; E-Health,1
"Kober, Hedy",17346360100,Ted Hughes; Sylvia Plath; Jar,1
"Kober, Hedy",17346360100,Psychological Support; Mindfulness; COVID-19,1
"Bliss-Moreau, Eliza",6506839563,Zika Virus; Microcephaly; Flaviviridae,6
"Bliss-Moreau, Eliza",6506839563,Pan Troglodytes; Primates; Grooming,5
"Bliss-Moreau, Eliza",6506839563,Amygdala; Emotion; Rhesus Monkey,4
"Bliss-Moreau, Eliza",6506839563,Magnetic Resonance Imaging; Prediction Error; Reward,2
"Bliss-Moreau, Eliza",6506839563,Animals; Pan Troglodytes; Captive Animals,2
"Bliss-Moreau, Eliza",6506839563,Macaca; Macaca Mulatta; Primates,1
"Bliss-Moreau, Eliza",6506839563,Resilience; Ecological Resilience; Advocacy Coalition Framework,1
"Bliss-Moreau, Eliza",6506839563,Visual Search; Distractor; Young Adult,1
"Bliss-Moreau, Eliza",6506839563,Animals; Cercopithecidae; Atelinae,1
"Bliss-Moreau, Eliza",6506839563,Age Differences; Time Perspective; Young Adult,1
"Bliss-Moreau, Eliza",6506839563,Ovx; Estradiol; Hippocampus,1
"Bliss-Moreau, Eliza",6506839563,Aesthetic Value; Abstract Art; Artwork,1
"Bliss-Moreau, Eliza",6506839563,Callithrix; Leontopithecus Chrysomelas; Animals,1
"Bliss-Moreau, Eliza",6506839563,Research Personnel; Research Productivity; Women in Science,1
"Bliss-Moreau, Eliza",6506839563,Shyness; Teacher Rating; Peers,1
"Bliss-Moreau, Eliza",6506839563,Theories of Emotion; Anger; Cognitive Appraisal,1
"Bliss-Moreau, Eliza",6506839563,Animal Experiment; Humane Endpoints; Animals,1
"Bliss-Moreau, Eliza",6506839563,Rhesus Monkey; Animals; Stereology,1
"Bliss-Moreau, Eliza",6506839563,Macaca Mulatta; Face Processing; Macaca,1
"Bliss-Moreau, Eliza",6506839563,Infectious Disease Transmission; Parus Major; Social Network Analysis,1
"Bliss-Moreau, Eliza",6506839563,Art; Abstract Paintings; Fractal Geometry,1
"Bliss-Moreau, Eliza",6506839563,Sertraline; Macaca Fascicularis; Simian,1
"Barrett, Lisa Feldman",55663264200,Theories of Emotion; Anger; Cognitive Appraisal,10
